contestID,problemID,refContestID,refProblemID
671,A,671,A
671,B,671,B
671,C,671,C
672,C,671,A
672,D,671,B
672,E,671,C
643,A,674,A
643,B,674,B
643,C,674,C
643,D,674,D
643,E,674,E
643,F,674,F
643,G,674,G
673,C,674,A
673,D,674,B
673,E,674,C
673,F,674,D
674,A,674,A
674,B,674,B
674,C,674,C
674,D,674,D
674,E,674,E
674,F,674,F
674,G,674,G
666,A,666,A
666,B,666,B
666,D,666,D
667,C,666,A
667,D,666,B
667,E,666,D
641,A,669,B
641,B,668,A
641,C,668,B
641,D,668,C
641,E,668,D
641,F,668,E
641,G,668,F
668,A,668,A
668,B,668,B
668,C,668,C
668,D,668,D
668,E,668,E
668,F,668,F
669,B,669,B
669,C,668,A
669,D,668,B
669,E,668,D
663,A,663,A
663,B,663,B
663,C,663,C
663,D,663,D
664,B,663,A
664,C,663,B
664,D,663,C
664,E,663,D
640,A,640,A
640,B,640,B
640,C,640,C
640,D,640,D
640,E,640,E
640,F,640,F
640,G,640,G
640,H,640,H
661,A,640,A
661,B,640,B
661,C,640,C
661,D,640,D
661,E,640,E
661,F,640,F
661,G,640,G
661,H,640,H
639,A,658,B
639,B,657,A
639,C,657,B
639,D,657,C
639,E,657,D
639,F,657,E
657,A,657,A
657,B,657,B
657,C,657,C
657,D,657,D
657,E,657,E
658,B,658,B
658,C,657,A
658,D,657,B
658,E,657,C
645,A,645,A
645,B,645,B
645,C,645,C
645,D,645,D
645,E,645,E
645,F,645,F
645,G,645,G
655,A,645,A
655,B,645,B
655,C,645,C
655,D,645,D
655,E,645,E
655,F,645,F
655,G,645,G
650,A,650,A
650,B,650,B
650,C,650,C
651,C,650,A
651,D,650,B
651,E,650,C
627,A,634,B
627,B,634,C
627,C,634,D
627,D,634,E
627,E,634,F
627,F,634,A
634,A,634,A
634,B,634,B
634,C,634,C
634,D,634,D
634,E,634,E
634,F,634,F
635,A,634,F
635,B,634,A
635,C,634,B
635,D,634,C
635,E,634,D
635,F,634,E
623,A,623,A
623,B,623,B
623,C,623,C
624,C,623,A
624,D,623,B
624,E,623,C
613,A,613,A
613,B,613,B
613,C,613,C
614,C,613,A
614,D,613,B
614,E,613,C
607,A,607,A
607,B,607,B
607,C,607,C
608,C,607,A
608,D,607,B
608,E,607,C
605,A,605,A
605,B,605,B
605,C,605,C
606,C,605,A
606,D,605,B
606,E,605,C
603,A,603,A
603,B,603,B
603,C,603,C
604,C,603,A
604,D,603,B
604,E,603,C
601,A,601,A
601,B,601,B
601,C,601,C
602,C,601,A
602,D,601,B
602,E,601,C
594,A,594,A
594,B,594,B
594,C,594,C
595,C,594,A
595,D,594,B
595,E,594,C
590,A,590,A
590,B,590,B
590,C,590,C
591,C,590,A
591,D,590,B
591,E,590,C
587,A,587,A
587,B,587,B
587,C,587,C
587,D,587,D
588,C,587,A
588,D,587,B
588,E,587,C
588,F,587,D
585,A,585,A
585,B,585,B
585,C,585,C
585,D,585,D
586,C,585,A
586,D,585,B
586,E,585,C
586,F,585,D
582,A,582,A
582,B,582,B
