problemRating,contestID,problemID,url
1836,585,B,http://codeforces.com/contest/585/problem/B
1836,482,B,http://codeforces.com/contest/482/problem/B
1836,536,A,http://codeforces.com/contest/536/problem/A
1838,669,D,http://codeforces.com/contest/669/problem/D
1840,371,D,http://codeforces.com/contest/371/problem/D
1840,493,C,http://codeforces.com/contest/493/problem/C
1841,330,D,http://codeforces.com/contest/330/problem/D
1842,404,C,http://codeforces.com/contest/404/problem/C
1842,655,D,http://codeforces.com/contest/655/problem/D
1843,574,D,http://codeforces.com/contest/574/problem/D
1844,372,B,http://codeforces.com/contest/372/problem/B
1845,438,B,http://codeforces.com/contest/438/problem/B
1845,412,E,http://codeforces.com/contest/412/problem/E
1847,408,D,http://codeforces.com/contest/408/problem/D
1848,376,C,http://codeforces.com/contest/376/problem/C
1848,618,C,http://codeforces.com/contest/618/problem/C
1848,448,D,http://codeforces.com/contest/448/problem/D
1851,552,C,http://codeforces.com/contest/552/problem/C
1852,586,D,http://codeforces.com/contest/586/problem/D
1853,492,D,http://codeforces.com/contest/492/problem/D
1854,459,C,http://codeforces.com/contest/459/problem/C
1855,635,C,http://codeforces.com/contest/635/problem/C
1856,321,A,http://codeforces.com/contest/321/problem/A
1856,319,B,http://codeforces.com/contest/319/problem/B
1857,336,B,http://codeforces.com/contest/336/problem/B
1858,340,D,http://codeforces.com/contest/340/problem/D
1860,351,B,http://codeforces.com/contest/351/problem/B
1861,668,B,http://codeforces.com/contest/668/problem/B
1862,459,D,http://codeforces.com/contest/459/problem/D
1864,540,C,http://codeforces.com/contest/540/problem/C
1864,552,D,http://codeforces.com/contest/552/problem/D
1864,607,B,http://codeforces.com/contest/607/problem/B
1866,546,D,http://codeforces.com/contest/546/problem/D
1869,342,C,http://codeforces.com/contest/342/problem/C
1873,343,C,http://codeforces.com/contest/343/problem/C
1874,434,A,http://codeforces.com/contest/434/problem/A
1874,439,C,http://codeforces.com/contest/439/problem/C
1874,366,C,http://codeforces.com/contest/366/problem/C
1876,439,D,http://codeforces.com/contest/439/problem/D
1876,592,C,http://codeforces.com/contest/592/problem/C
1877,334,D,http://codeforces.com/contest/334/problem/D
1878,667,C,http://codeforces.com/contest/667/problem/C
1880,577,B,http://codeforces.com/contest/577/problem/B
1882,443,D,http://codeforces.com/contest/443/problem/D
1882,529,E,http://codeforces.com/contest/529/problem/E
1883,331,B2,http://codeforces.com/contest/331/problem/B2
1884,603,B,http://codeforces.com/contest/603/problem/B
1885,582,A,http://codeforces.com/contest/582/problem/A
1886,351,A,http://codeforces.com/contest/351/problem/A
1888,324,B2,http://codeforces.com/contest/324/problem/B2
1889,567,D,http://codeforces.com/contest/567/problem/D
1889,449,A,http://codeforces.com/contest/449/problem/A
1891,497,B,http://codeforces.com/contest/497/problem/B
1892,442,B,http://codeforces.com/contest/442/problem/B
1894,653,C,http://codeforces.com/contest/653/problem/C
1895,586,C,http://codeforces.com/contest/586/problem/C
1898,477,B,http://codeforces.com/contest/477/problem/B
1900,480,C,http://codeforces.com/contest/480/problem/C
