contestID,problemID,problemRating
413,B,0
324,A1,0
48,A,499
467,A,648
581,A,662
509,A,671
231,A,699
510,A,703
263,A,712
266,A,732
617,A,745
200,B,760
427,A,762
344,A,763
431,A,770
255,A,774
281,A,777
405,A,789
61,A,803
268,A,806
454,A,808
228,A,812
546,A,815
46,A,815
265,A,816
129,A,823
9,A,825
282,A,826
22,A,831
71,A,833
658,A,834
443,A,835
378,A,835
110,A,835
136,A,836
271,A,839
49,A,862
669,A,863
629,A,865
421,A,866
554,A,867
408,A,867
415,A,867
381,A,871
236,A,871
177,A1,874
47,A,874
155,A,875
262,A,875
116,A,876
84,A,879
59,A,881
361,A,882
426,A,884
591,A,889
181,A,891
92,A,891
38,A,892
540,A,893
624,A,898
177,A2,898
169,A,903
672,A,905
233,A,905
618,A,905
294,A,907
151,A,907
384,A,912
551,A,914
32,A,915
12,A,920
278,A,921
599,A,923
520,A,926
432,A,927
490,A,933
492,A,933
330,A,937
148,A,937
513,A,937
16,A,938
248,A,939
474,A,941
363,A,944
141,A,946
127,A,949
29,A,952
567,A,956
275,A,957
17,A,958
673,A,963
448,A,964
276,A,964
32,B,966
266,B,967
247,A,970
588,A,971
401,A,972
35,A,972
465,A,973
412,A,973
424,A,975
104,A,978
246,A,979
112,A,979
144,A,980
336,A,980
63,A,981
441,A,981
472,A,982
74,A,984
202,A,990
334,A,994
69,A,994
37,A,1000
469,A,1001
451,A,1002
460,A,1003
272,A,1003
447,A,1006
545,A,1006
670,A,1008
133,A,1008
244,A,1008
80,A,1009
10,A,1010
78,A,1013
318,A,1014
214,A,1014
41,A,1016
25,A,1017
501,A,1019
94,A,1020
369,A,1021
13,A,1021
496,A,1023
25,B,1023
23,A,1025
221,A,1027
486,A,1027
373,A,1028
519,A,1028
5,A,1029
14,A,1031
234,B,1031
583,A,1032
3,A,1034
580,A,1035
26,A,1036
313,A,1037
199,A,1037
604,A,1041
194,A,1041
385,A,1045
626,A,1046
34,A,1046
263,B,1046
572,A,1048
168,A,1052
611,A,1055
610,A,1055
146,A,1055
413,A,1056
109,A,1056
58,A,1057
48,B,1059
621,A,1059
265,B,1059
549,A,1060
556,A,1060
552,A,1061
34,B,1061
387,A,1062
259,A,1063
439,A,1064
412,B,1067
165,A,1068
124,A,1068
90,A,1068
359,A,1071
268,B,1072
376,A,1074
160,A,1075
299,A,1075
43,A,1076
46,B,1076
560,A,1077
535,A,1077
68,A,1077
421,B,1080
447,B,1080
379,A,1081
178,A2,1083
178,A1,1083
4,A,1084
579,A,1085
157,B,1087
118,B,1088
337,A,1092
195,A,1093
285,A,1093
331,C1,1095
499,B,1095
90,B,1102
31,A,1103
478,A,1103
322,A,1104
608,A,1105
230,A,1108
465,B,1108
476,A,1111
435,A,1111
215,A,1112
62,A,1113
368,A,1113
205,A,1114
450,A,1114
507,A,1114
177,B1,1115
352,A,1116
152,A,1116
118,A,1116
82,A,1118
137,A,1120
66,B,1121
299,B,1125
653,A,1125
515,A,1126
149,A,1126
208,A,1126
103,A,1128
53,C,1128
96,A,1128
577,A,1130
557,A,1131
672,B,1132
534,A,1132
479,A,1133
586,A,1134
284,B,1135
499,A,1135
631,A,1136
137,B,1137
400,A,1138
122,A,1139
320,A,1140
462,A,1141
355,A,1142
259,B,1142
250,A,1143
132,A,1146
7,A,1147
16,B,1148
584,A,1148
218,B,1149
463,B,1150
482,A,1151
316,A1,1151
242,A,1153
289,A,1153
366,A,1154
270,A,1156
292,A,1158
389,A,1159
667,A,1160
420,A,1161
102,B,1164
224,A,1164
6,A,1164
483,A,1164
461,A,1164
357,A,1165
55,A,1168
651,A,1169
157,A,1169
365,A,1171
427,B,1172
419,A,1172
234,A,1174
300,A,1176
47,B,1176
519,B,1177
225,A,1178
227,B,1178
659,A,1179
43,B,1182
404,A,1184
78,B,1184
500,A,1184
670,B,1185
635,A,1186
669,B,1186
218,A,1187
355,B,1188
63,B,1189
368,B,1189
558,A,1190
514,A,1191
629,B,1191
53,A,1192
143,A,1193
495,A,1193
382,A,1194
596,B,1194
525,A,1194
259,C,1194
556,B,1194
75,A,1195
80,B,1197
219,A,1198
139,A,1200
1,A,1201
618,B,1201
371,A,1202
431,B,1203
33,A,1204
106,B,1204
535,B,1204
110,B,1206
501,B,1206
242,B,1207
196,A,1209
544,A,1211
667,B,1211
56,A,1211
381,B,1214
131,A,1216
287,A,1218
136,B,1218
122,B,1220
433,A,1222
452,A,1222
363,B,1225
488,A,1226
258,A,1226
237,A,1227
285,B,1228
574,A,1229
38,B,1229
327,A,1229
106,A,1230
12,B,1230
296,A,1230
658,B,1232
18,C,1232
402,A,1232
592,B,1233
508,A,1234
570,A,1234
88,A,1234
645,A,1235
365,B,1235
424,B,1235
5,B,1235
467,B,1236
24,A,1237
114,A,1237
527,A,1238
252,A,1238
208,D,1241
651,B,1241
313,B,1242
133,B,1242
169,B,1243
